Id,target,1,2,3,4,5,6,7
0,0.23,0.58,0.82,,,,,
3,0.12,0.1,0.14,,,,,
4,0.3,0.47,0.71,,,,,
5,0.25,0.43,0.48,,,,,
6,0.35,0.52,1.25,,,,,
7,0.29,0.42,0.45,,,,,
8,0.57,0.96,0.94,,,,,
9,0.09,0.23,0.23,,,,,
10,0.1,0.06,0.23,,,,,
11,0.23,0.25,0.34,,,,,
12,0.6,0.66,0.97,,,,,
13,0.06,0.12,0.05,,,,,
14,0.43,0.5,0.47,,,,,
15,0.14,0.18,0.28,,,,,
16,0.28,0.26,0.36,,,,,
17,0.3,0.4,0.46,,,,,
18,0.18,0.23,0.17,,,,,0.1
19,0.34,0.38,0.41,,,,,0.13
20,0.01,0.07,0.18,,,,,
21,0.06,0.18,0.06,,,,,
22,0.3,0.23,0.21,,,,,
23,0.45,0.7,0.62,,,,,
24,0.22,0.4,0.31,,,,,
25,0.04,0.03,0.02,,,,,
26,0.14,0.18,0.43,,,,,
27,0.05,0.03,0.04,,,,,
28,0.19,0.13,0.25,,,,,
29,0.81,0.69,0.77,,,,,
30,0.1,0.07,0.43,,,,,
31,0.12,0.19,0.26,,,,,
33,0.14,0.06,0.12,,,,,
34,0.4,0.44,0.38,,,,,
35,0.26,0.24,0.2,,,,,
36,0.09,0.08,0.1,,,,,
38,0.74,0.36,0.41,,,,,
39,0.19,0.09,0.18,,,,,
41,0.16,0.26,0.26,,,,,
42,0.17,0.16,0.19,,,,,
45,0.49,0.71,0.77,,,,,
47,0.25,1.17,0.17,,,0.97,,
48,1.61,0.01,0.02,,,0.97,0.07,0.08
49,0.14,0.45,0.29,,,,0.07,0.08
50,0.17,0.15,0.13,,,,,
52,0.24,0.24,0.28,,,,,
54,0.39,0.55,0.47,,,,0.73,0.17
55,0.2,0.21,0.17,,,,,
56,0.02,0.07,0.09,,,,,
57,0.08,0.07,0.06,0.12,0.68,0.34,0.14,0.12
58,0.43,0.5,0.51,,,,,
59,0.18,0.2,0.2,,,,,
62,0.45,0.65,0.52,,,,,
63,0.05,0.07,,,,0.7,0.06,0.05
64,0.41,0.52,0.46,0.1,1.32,,,
65,0.3,0.37,0.27,,,,,
66,0.48,0.7,0.81,,,,,
67,0.49,0.59,0.52,,,,,
70,0.12,,0.13,0.07,0.03,,,
72,0.6,0.5,0.42,0.08,,0.19,,
73,0.25,0.32,0.3,,0.18,,0.13,0.04
75,0.0,0.04,0.04,,,0.5,0.13,0.2
76,0.1,0.09,0.05,0.09,0.16,0.41,0.1,
77,0.07,0.06,0.04,,,,,
79,0.03,0.02,0.04,0.37,0.7,,,
82,0.26,0.3,0.12,,,,0.04,0.06
83,0.18,0.2,0.2,0.04,0.08,2.24,0.4,0.15
86,0.13,0.18,0.15,,,,,
87,0.1,0.15,0.18,,,,,
90,0.11,0.09,0.13,,,,0.04,0.13
91,0.05,0.1,0.06,,,,,
93,0.15,0.14,0.18,0.82,0.56,,0.18,0.13
96,0.16,0.19,0.22,,,,,
98,0.27,0.35,0.45,0.08,0.19,,,
99,0.37,0.35,0.41,,,1.57,0.32,0.38
102,0.27,0.23,0.25,0.81,0.89,,,
103,0.05,0.16,0.26,,,0.11,0.1,0.07
105,0.11,0.44,0.25,,,0.2,0.07,0.07
107,0.12,0.06,0.06,0.06,0.31,,,
108,0.16,0.12,0.07,,,,,
109,0.49,0.56,0.55,0.13,0.29,,,
110,0.76,0.64,0.88,,,2.23,0.04,0.4
111,0.24,0.28,0.26,,,,,
112,0.89,1.16,1.25,,,,,
114,0.06,0.06,0.07,,,,,
116,0.5,0.63,0.69,,,,,
117,0.21,0.38,0.37,0.06,1.09,,0.0,0.22
118,0.73,0.16,0.31,,,,,
120,0.06,0.18,0.14,,,,,
121,0.53,0.62,0.51,,,,,
122,0.32,0.26,0.29,,,,,
124,0.08,0.1,0.02,,,0.19,,
125,0.09,0.09,0.2,,,,,
128,0.16,0.49,0.5,,,,,
130,0.02,0.03,0.06,,,,0.0,0.16
131,0.14,0.2,0.21,,,,,
132,0.29,0.42,0.53,,,,,
133,0.16,0.17,0.17,,,,,
134,0.41,0.44,0.61,0.0,0.34,0.16,0.04,0.04
137,0.28,,,,,0.47,0.05,
142,0.09,0.13,0.15,0.3,0.12,0.21,0.11,0.19
145,0.17,0.14,0.25,,,,0.09,0.08
146,0.56,0.1,0.54,,,,,
147,0.63,0.76,1.29,0.32,0.48,0.94,0.0,0.01
148,0.26,0.21,0.22,,,,0.07,0.15
149,0.1,0.08,0.1,,,,,
150,0.2,0.19,0.2,,,,,
151,0.24,0.28,0.32,0.51,0.98,2.16,0.1,0.05
153,0.29,0.24,0.3,0.11,0.34,1.04,,
154,0.46,0.41,0.36,,,,,
157,0.18,0.23,0.22,0.15,0.83,0.4,0.03,0.08
158,0.42,0.37,0.47,0.09,0.21,1.43,0.09,0.08
159,0.38,0.29,0.38,,,,,
160,0.19,0.09,0.19,,,,,
161,0.15,0.03,0.06,,,,,
162,0.22,0.3,0.28,0.08,1.22,0.97,0.1,0.08
163,0.21,0.23,0.22,,,,,
165,0.04,0.1,0.06,,,,,
166,0.18,0.1,0.15,0.07,0.22,0.77,0.05,0.04
169,0.26,0.18,0.2,0.19,0.39,0.45,,
170,0.33,0.31,0.27,,,,,
171,0.19,0.21,0.31,0.06,0.78,0.63,0.41,0.43
173,0.03,0.03,0.06,,,,,
174,0.28,0.25,0.31,,,,,
176,0.07,0.08,0.09,0.79,5.7,3.23,0.54,0.19
178,0.7,0.86,1.09,,,,,
179,0.07,0.19,0.21,2.26,3.12,4.43,0.12,0.2
181,0.76,0.96,1.32,,,,,
183,0.17,0.08,0.09,,,,,
184,0.32,0.3,0.31,2.39,5.66,3.44,0.0,0.21
186,0.18,0.37,0.69,,,,,
187,0.71,0.92,1.29,,,,,
191,0.72,0.95,1.21,,,,,
194,0.26,0.23,0.25,1.4,7.43,11.66,0.11,0.95
196,1.05,1.08,1.07,2.26,,5.95,,
197,1.02,1.06,1.09,1.73,7.87,4.98,0.41,1.59
198,0.23,0.34,0.35,,,,,
199,0.83,0.47,0.41,,,,,
201,0.34,0.41,0.16,,,,,
202,0.71,2.39,0.86,0.76,1.91,1.42,0.19,0.49
203,0.78,0.99,1.89,,,,,
204,0.53,1.0,0.86,2.56,7.7,5.36,0.22,0.42
205,1.8,1.05,0.81,,,,,
207,0.16,0.19,0.13,,,,,
208,0.73,0.41,1.09,,,,,
211,0.7,0.76,0.95,,,,,
212,0.38,0.19,1.4,,,,,
213,0.18,0.15,0.21,,,,,
214,0.25,0.16,0.22,,,,,
